StateName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
NE,117109.83,111747.83,112446.33,117314.5,123284.5,128395.5,132366.17,133419.5,130020.33,128282.08,129651.67,125745.0,126067.0,131456.33,135539.08,141881.92,148450.92,158534.58,169224.42,178456.58,187369.92,204861.33
ID,127302.0,132008.42,135941.5,139453.08,145601.67,162133.5,194858.33,204910.0,202797.58,180789.92,164017.75,147843.75,152718.17,171591.17,181428.42,190164.0,205470.42,223651.75,251768.83,281913.58,313707.0,394380.89
HI,250054.0,264979.33,285764.33,327401.08,398697.08,500288.33,589280.42,599619.58,585817.42,535874.0,529033.67,529941.92,528773.67,559056.0,608569.08,630877.92,657501.17,696849.67,728981.58,738710.33,747027.5,824769.22
ME,118618.83,131457.58,146889.08,163639.92,186449.25,208587.83,215832.17,215045.83,209707.17,195733.17,190489.25,186513.58,183640.83,187027.67,188405.25,192857.33,201750.58,213962.0,227029.58,236982.58,255899.08,296130.11
NH,154191.5,176445.67,199766.83,226677.83,251882.33,276177.08,285201.25,276572.75,260269.42,241448.5,234496.67,227269.33,222003.25,229851.42,239265.83,248061.92,257434.83,272974.0,290597.25,303194.75,322946.58,373429.33
RI,153196.17,169585.08,197378.08,237071.92,279250.5,317305.25,331034.5,316050.0,292398.67,257608.75,253802.42,240718.42,227831.92,235379.08,245853.25,250048.25,262616.58,278702.92,298122.42,306614.0,324076.83,373100.56
MT,,,,,,189805.91,205931.5,218413.92,222652.08,218263.75,211849.92,204997.33,207448.67,216821.58,227592.08,237309.75,244989.42,256424.58,270859.67,286149.17,303366.83,350019.89
DE,154557.75,163746.58,175036.33,191527.08,214158.42,247447.92,274016.25,280351.17,269590.0,251084.33,242650.0,226990.42,214995.42,214338.33,223770.5,230476.42,238310.42,244870.75,254208.0,261184.25,269492.58,301343.33
SD,115900.5,117818.42,121334.5,126301.75,133613.83,142971.25,149700.67,154320.67,158406.67,157915.83,156788.5,156125.42,157356.67,162716.0,168291.0,175340.67,184239.08,195013.92,204509.92,214417.33,222888.83,241877.44
AK,135508.33,159399.58,172682.17,181225.5,195459.92,213501.75,231606.42,245127.5,250351.0,249967.25,250669.17,247890.42,251735.83,259243.42,267338.33,276488.0,281693.33,283235.75,285394.5,301910.0,308749.08,316129.56
ND,,,,,,,,,,170300.92,170872.33,173233.83,179556.42,197673.33,212800.33,226949.17,233940.08,235826.83,236750.67,239015.08,243157.25,254061.89
VT,133910.83,144674.5,156892.08,169684.67,189152.42,212250.83,232775.92,243876.92,245692.33,239942.58,236318.17,235880.25,235127.67,235146.33,235266.33,237287.0,239283.42,246285.5,256997.08,265923.58,275276.08,301615.22
DC,226539.83,242756.83,272870.83,317462.08,372474.33,451258.67,507357.83,511506.0,494161.33,460365.75,456920.92,447971.08,464111.83,520832.58,587437.5,591892.25,620907.17,650989.17,682107.67,720067.75,739488.92,784692.11
WY,,,144110.89,149054.5,159190.0,172745.83,188749.0,203705.5,207404.33,203688.83,200530.17,198648.08,202163.42,209201.58,216402.17,224694.58,229489.25,230990.83,239101.25,250546.75,261473.58,273482.78
