StateName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
NJ,0.10447564656678687,0.1258761906172019,0.1548168087035915,0.13765188910389425,0.14553873455674582,0.09801874227243301,-0.012403875954433152,-0.062309779816666744,-0.0843647407209428,-0.03490718357936029,-0.06351187784773749,-0.05287242624999189,0.014519729745457788,0.03918820396820055,0.007022646239799313,0.008173960159630012,0.027234338794339896,0.04348544318604586,0.023409963501863862,0.040248590117782035,0.1358601875323735
VA,0.08235257140334595,0.09305235425832659,0.10579834955470213,0.15790105360338846,0.20875009098086683,0.12017153938833602,-0.00156915749944464,-0.06850019192177814,-0.0780554539686118,-0.01900007120644065,-0.03341716086673974,-0.005185284609122265,0.03594513339729333,0.030155854910780766,0.012832608736848217,0.018497768158632688,0.03597258330084041,0.03625038232046385,0.038750816202463234,0.04293027881364808,0.09615322647930769
WA,0.050733912086456945,0.0431632883158235,0.04901980130678485,0.08963437574600142,0.1512863331766452,0.16757685639198905,0.06521052337867972,-0.04867282255288219,-0.1057765260838821,-0.05511672519170385,-0.08939802151323595,-0.03371965622882589,0.09124913959764092,0.07508828689523939,0.07532838651451224,0.10246351770273199,0.10888142173823878,0.10316631775807594,0.04538605854660238,0.08415169581630955,0.16192165017386584
MA,0.15094900187266025,0.13766260899902583,0.13570246197880564,0.10112243211598848,0.08384236366954356,-0.0011442417615189493,-0.047320411710223276,-0.060675880929718096,-0.06547061836931445,0.005167052203486344,-0.03805949401703679,-0.02465552344494737,0.058577913913133495,0.051508418180707505,0.03299112369997803,0.04446385669054265,0.05543814406450376,0.05869095301996441,0.02376422371627962,0.050234426173982216,0.13991677129927194
IN,0.034720408864705954,0.01597473838114194,0.01645278774076364,0.026976339745986566,0.056421246133363745,0.025682198150750013,0.014579202321586049,-0.0031354636810464465,-0.027068097007406866,-0.012761507350644852,-0.028627533772444536,-0.005316924093328401,0.014597958851179094,0.0341849198089188,0.03053130078252564,0.03739510315682826,0.05751878389520493,0.07159741134440267,0.06670721523048306,0.062098530007477226,0.1110847665285406
AZ,0.055861632082433665,0.05113523325708802,0.05788812702849211,0.09324990184378223,0.3011123793346224,0.21758441988758426,-0.044430372500790516,-0.17038854993696384,-0.22383760354776783,-0.0930996839504925,-0.11118249080952869,0.06820546873091127,0.1788803638293286,0.08651336982643909,0.04670683615449267,0.06401273498353444,0.06489662040547817,0.07415948830584962,0.060519657787328596,0.09728618823644597,0.21538290207141264
TN,0.03429146063623478,0.02351892208999673,0.024531801571766154,0.03490297812097931,0.05754582044892809,0.06797095006062692,0.04201222415071504,-0.013715273378845039,-0.039965478288653156,-0.021362197156092222,-0.034991600375282816,-0.011902154260398978,0.024216184906095783,0.04047392357560886,0.0385291155287375,0.05743802291953437,0.07087353667532637,0.07522344491557442,0.06139906470081202,0.07005578376635246,0.12473128764830133
MO,0.06983104022049069,0.06676808983414095,0.06146513574675172,0.05413831339702879,0.049082791602715004,0.04166197933195459,0.014637682001891417,-0.021528220361440198,-0.04020244180507071,-0.022359275143416735,-0.05806788569067467,-0.02143785228145534,0.02287534333446839,0.031104003250846723,0.03393966343923038,0.04804719519192213,0.05882911284450887,0.0607471860681712,0.050878070865203684,0.05162657040540686,0.11147706820700987
MD,0.061191939915843374,0.09941093751594932,0.1346366876240348,0.16844074233846418,0.2147343027162878,0.150724736766922,0.014099473872837054,-0.08213478183236389,-0.1243798595561364,-0.05288395668808943,-0.056963236467759026,-0.021783310360563468,0.05024980132633683,0.04546629372513422,0.0047486485950936075,0.018791344290023382,0.036477015277424085,0.03671218488256911,0.022376344544940308,0.0320878554736852,0.11091063412110147
WI,0.05589612936348298,0.055429077756406375,0.06219966475035865,0.08281264797674193,0.07590684679681736,0.04184866508552276,0.0091309786035354,-0.023628634316582464,-0.055582014575093375,-0.024449127031908602,-0.06694220170872689,-0.02703830733144219,0.02042761450345698,0.04317714646768134,0.026485866666210223,0.0442040561373922,0.06645937881700958,0.06919744856085575,0.054483875638540624,0.06046412335156237,0.11145081455847983
MN,0.1335253231543332,0.10459806266980154,0.08609393577424806,0.08024624539565783,0.07001068001244581,0.028846989780751064,-0.016349886007027248,-0.07232048386249545,-0.08801146128139836,-0.02821115466495594,-0.0828625262387166,-0.015830884043630422,0.0874010038899724,0.07714876041100549,0.03433595047557003,0.05718995686100614,0.06597279200399342,0.06785759037856631,0.04757950688126056,0.048908496735548423,0.09737579722925904
CO,0.11863510364371166,0.05384695762293368,0.01950962677031609,0.02126891464087599,0.02950315460713382,0.023453191582476274,0.0026216478818275046,-0.03150426924766825,-0.02926933672177845,-0.007607423176070438,-0.03750707630522032,0.018401368701446597,0.08146597750750084,0.07838416441181995,0.10496211123209243,0.10568308213171251,0.08605822506629957,0.07518414625447112,0.043498681568243436,0.046204221576207294,0.1363749415344404
AL,0.04027851584987174,0.025671236110611728,0.02925870668545061,0.03490098347792747,0.048750444246762115,0.07743581915978548,0.04472628982512594,-0.0061513346259185475,-0.0387064164251506,-0.0394392826790676,-0.046742908041132125,-0.017797327793698692,0.011501546968599952,0.018955054791843784,0.022245795711577143,0.02418556714993736,0.03213067096806288,0.04552921867229376,0.048188179170670864,0.06432543023959814,0.10124680844108092
SC,0.04582012621031839,0.027391144000955547,0.03085592458679387,0.04435515028070047,0.06764983081694753,0.07971636507838475,0.040917392426600196,-0.007699383633998913,-0.04844700351929121,-0.02973736529224824,-0.05129762666012061,-0.018687985092630255,0.016175711922639335,0.03519626787084462,0.034773822902768314,0.04512032951806377,0.051261415933423926,0.05848225373836824,0.049327127474489973,0.04998958990558844,0.10859767230130357
LA,0.052752188628385266,0.044670535093511266,0.03428564348640162,0.047131544115343926,0.05654551338968772,0.09560769754540632,0.04584392233631562,0.00613798706740365,-0.00856225887016382,-0.0039380579488828005,-0.02840635618646803,-0.004450578348327405,0.013413748860059194,0.02254241038138627,0.023504990225727607,0.024844336498123232,0.026091966204761174,0.024632335290534657,0.005998386679713308,0.02889533212269879,0.0600831518862559
KY,0.05465693814947481,0.03451410237364749,0.032000946155381405,0.031849819363295895,0.041274404029351786,0.034420793376843895,0.0158794031509788,-0.002924504147467033,-0.010809096278213803,-0.007772634594068517,-0.030322236370054267,-0.005524077893464763,0.013823763396412003,0.023281268993685433,0.03312907403729204,0.0442418857471385,0.05782132467912082,0.057116100899373023,0.047553227098515505,0.05310310763672277,0.08817471574772218
OR,0.0370623915681354,0.04273888494614564,0.05300964479471326,0.0816970422463692,0.1465653474588937,0.18710407409029872,0.06683844303217579,-0.04323844416747058,-0.09990415028388977,-0.05815125655265785,-0.08295803039286054,-0.014985845003112952,0.09846573342345666,0.0870822229882513,0.07739832694486637,0.10744460922822996,0.08923635015519804,0.06575078037411952,0.03800745363990221,0.052433140831769975,0.14130651601041344
